Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2015,26,Khatib,28,22.5,17,0.0,0.0,0.0,0.0,0.0,0.0,29.642857142857146,33.5,25.7,6.3,26.3
2015,27,Khatib,28,27.0,26,14.6,0.0,2.4285714285714284,8.0,11.8,14.4,28.442857142857147,34.3,22.5,5.071428571428571,47.9
2015,28,Khatib,38,28.5,19,4.0,0.0,1.2,3.8,3.8,4.0,28.728571428571428,33.4,23.9,5.257142857142859,32.8
2015,29,Khatib,48,40.5,33,30.6,0.0,8.685714285714287,27.6,29.4,30.4,28.728571428571428,33.0,22.3,5.7714285714285705,43.6
2015,30,Khatib,39,35.0,31,17.4,0.0,3.1714285714285717,17.2,17.4,17.4,28.800000000000004,33.9,23.9,5.2,28.1
2015,31,Khatib,28,28.0,28,28.4,0.0,5.742857142857143,19.4,20.2,27.6,27.642857142857146,33.1,23.1,5.185714285714285,41.8
2015,32,Khatib,14,14.0,14,17.4,0.0,8.257142857142856,14.2,16.4,17.0,26.67142857142857,32.7,22.6,4.114285714285714,34.6
2015,33,Khatib,17,17.0,17,13.0,0.0,2.2857142857142856,9.6,10.0,10.0,28.142857142857142,33.7,24.6,5.057142857142857,39.6
2015,34,Khatib,15,15.0,15,7.8,0.0,1.1428571428571428,7.4,7.8,7.8,28.557142857142853,33.0,24.0,5.6000000000000005,36.7
2015,35,Khatib,27,27.0,27,4.2,0.0,0.6,1.8,2.6,4.0,28.67142857142857,34.0,24.3,5.757142857142857,32.8
2015,36,Khatib,28,25.0,22,0.6,0.0,0.08571428571428573,0.6,0.6,0.6,29.114285714285717,33.6,25.0,5.7,26.3
2015,37,Khatib,36,36.0,36,13.2,0.0,1.8857142857142857,6.4,10.8,13.2,27.97142857142857,33.7,23.3,4.885714285714286,35.3
2015,38,Khatib,30,30.0,30,9.8,0.0,3.6285714285714286,8.6,8.6,8.6,28.057142857142853,34.4,24.6,4.871428571428573,32.8
2015,39,Khatib,,,,33.8,0.0,5.314285714285714,16.0,17.6,18.2,28.014285714285712,32.9,24.5,4.257142857142857,37.1
2015,40,Khatib,24,22.5,21,23.0,0.0,9.142857142857142,16.2,19.6,21.2,27.728571428571428,33.0,23.2,3.9,32.4
2015,41,Khatib,27,27.0,27,14.6,0.0,4.571428571428571,14.4,14.6,14.6,28.02857142857143,34.2,23.9,3.9857142857142858,33.5
2015,42,Khatib,21,21.0,21,4.5,0.0,0.6428571428571429,4.5,4.5,4.5,28.785714285714285,33.9,24.8,4.428571428571429,28.4
2015,43,Khatib,,,,7.5,0.0,1.2857142857142858,4.5,4.5,4.5,28.785714285714285,33.6,24.4,4.671428571428572,32.0
2015,44,Khatib,26,24.0,22,40.0,0.0,8.0,40.0,40.0,40.0,27.8,33.9,22.5,4.2285714285714295,33.8
2015,45,Khatib,18,18.0,18,32.5,0.0,10.071428571428571,27.0,31.5,32.0,27.37142857142857,34.0,23.4,3.585714285714286,31.0
2015,46,Khatib,24,24.0,24,36.5,0.0,10.085714285714284,24.0,36.0,36.5,27.37142857142857,34.0,24.1,3.7428571428571433,27.4
2015,47,Khatib,18,18.0,18,53.6,0.0,12.400000000000002,35.4,47.8,52.2,27.2,33.6,23.3,3.7857142857142856,31.7
2015,48,Khatib,8,8.0,8,31.8,0.0,6.228571428571428,19.6,21.6,28.0,27.457142857142852,34.2,23.9,3.8857142857142857,25.2
2015,49,Khatib,16,12.5,9,65.0,0.4,21.05714285714285,36.4,46.4,63.4,27.085714285714282,34.2,23.9,3.7285714285714286,33.1
2015,50,Khatib,,,,19.4,0.0,8.828571428571427,14.2,16.2,16.4,27.24285714285714,34.5,24.0,4.071428571428571,26.3
2015,51,Khatib,27,27.0,27,5.2,0.0,1.0571428571428572,3.0,3.0,3.4,27.614285714285717,33.4,23.6,4.871428571428573,34.6
2015,52,Khatib,22,22.0,22,52.4,0.0,8.628571428571428,20.6,31.0,51.0,28.02857142857143,34.0,22.9,4.828571428571427,33.8
2015,53,Khatib,59,49.5,40,20.4,0.0,5.55,3.4,5.0,5.8,27.450000000000006,33.0,24.6,6.2,34.6
