Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Max PSI East,Avg PSI East
2015,3,Changi,15.0,13.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,27.12857142857143,31.5,23.9,12.3,38.2,,
2015,4,Changi,19.0,13.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,30.9,24.4,14.085714285714287,42.5,,
2015,5,Changi,26.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,26.985714285714288,31.8,23.7,12.071428571428573,40.0,,
2015,6,Changi,29.0,28.0,27.0,10.8,0.0,2.1142857142857143,6.4,8.2,10.8,26.285714285714285,30.8,23.6,12.457142857142856,43.2,,
2015,7,Changi,27.0,21.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,26.714285714285715,32.0,23.3,13.175,39.2,,
2015,8,Changi,18.0,18.0,18.0,4.0,0.0,0.5714285714285714,2.6,2.6,3.6,27.314285714285717,32.4,23.1,12.914285714285715,36.7,,
2015,9,Changi,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,27.857142857142854,33.6,24.7,12.685714285714285,42.8,,
2015,10,Changi,11.0,11.0,11.0,14.0,0.0,2.0,11.8,13.0,14.0,28.08571428571429,34.4,23.4,10.085714285714284,36.7,,
2015,11,Changi,18.0,12.0,6.0,46.0,0.0,6.571428571428571,23.6,25.2,29.8,27.62857142857143,33.7,23.7,10.928571428571427,45.0,,
2015,12,Changi,11.0,7.5,4.0,6.4,0.0,0.9142857142857144,6.4,6.4,6.4,28.3,33.4,23.6,10.342857142857145,37.1,,
2015,13,Changi,4.0,3.5,3.0,9.2,0.0,1.3142857142857145,6.0,6.2,7.8,28.54285714285714,33.1,24.8,12.542857142857144,39.6,,
2015,14,Changi,5.0,4.5,4.0,13.8,0.0,6.257142857142857,12.4,13.4,13.6,27.828571428571426,33.4,24.5,7.2142857142857135,34.6,,
2015,15,Changi,3.0,2.5,2.0,1.6,0.0,0.2857142857142857,1.6,1.6,1.6,28.9,33.8,25.9,9.614285714285714,37.1,,
2015,16,Changi,8.0,5.0,2.0,8.2,0.0,1.257142857142857,4.2,6.4,8.2,29.24285714285714,34.4,24.0,9.94285714285714,35.3,,
2015,17,Changi,9.0,9.0,9.0,18.8,0.0,3.3714285714285714,7.8,14.4,16.2,28.62857142857143,34.1,24.4,7.542857142857143,35.3,,
