Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Max PSI West,Avg PSI West
2015,10,Tuas South,4.0,3.0,2.0,16.2,0.0,2.3142857142857136,7.2,13.6,16.2,28.07142857142857,33.7,22.7,6.357142857142856,44.3,,
2015,11,Tuas South,5.0,2.5,0.0,84.2,0.0,19.914285714285715,39.0,64.6,70.8,27.3,34.1,22.6,6.314285714285715,45.7,,
2015,12,Tuas South,2.0,1.0,0.0,5.4,0.0,0.7714285714285715,2.8,5.0,5.4,28.57142857142857,32.7,25.1,4.528571428571428,25.6,,
2015,13,Tuas South,2.0,1.5,1.0,17.2,0.0,4.371428571428572,17.2,17.2,17.2,28.6,34.8,24.1,5.2142857142857135,37.4,,
2015,14,Tuas South,2.0,1.0,0.0,33.0,0.0,10.6,26.2,28.0,28.2,27.814285714285717,33.5,23.7,5.342857142857143,36.4,,
2015,15,Tuas South,2.0,1.5,1.0,30.4,0.0,4.571428571428571,28.6,30.4,30.4,28.642857142857146,34.2,24.0,4.814285714285714,34.6,,
2015,16,Tuas South,1.0,0.5,0.0,48.8,0.0,10.542857142857144,22.0,35.0,48.4,28.9,34.1,22.8,4.628571428571427,37.4,,
2015,17,Tuas South,0.0,0.0,0.0,22.0,0.0,10.828571428571427,21.4,21.6,21.6,27.92857142857143,32.3,24.1,5.985714285714287,37.1,,
2015,18,Tuas South,0.0,0.0,0.0,45.6,0.0,6.857142857142858,23.2,33.2,37.6,28.157142857142855,32.2,25.1,6.257142857142857,42.8,,
2015,19,Tuas South,2.0,2.0,2.0,0.4,0.0,0.05714285714285715,0.2,0.2,0.2,29.228571428571428,33.6,26.2,5.7714285714285705,28.1,,
2015,20,Tuas South,3.0,3.0,3.0,2.8,0.0,0.6571428571428571,2.8,2.8,2.8,29.40000000000001,34.4,26.2,4.757142857142859,27.7,,
2015,21,Tuas South,2.0,1.0,0.0,18.4,0.0,4.314285714285714,10.2,15.8,18.2,29.014285714285712,33.4,25.4,5.357142857142857,39.2,,
2015,22,Tuas South,0.0,0.0,0.0,1.8,0.0,0.4,1.8,1.8,1.8,29.614285714285717,34.2,26.4,5.428571428571428,28.8,,
2015,23,Tuas South,2.0,1.0,0.0,7.0,0.0,1.5142857142857142,6.4,6.6,6.8,29.1,34.3,25.7,5.999999999999999,31.0,,
2015,24,Tuas South,6.0,5.0,4.0,27.4,0.0,6.228571428571428,10.8,17.8,22.4,28.271428571428572,32.7,24.8,7.3428571428571425,40.7,,
2015,25,Tuas South,6.0,6.0,6.0,12.6,0.0,1.8,11.2,11.8,11.8,29.17142857142857,32.7,23.2,5.857142857142858,32.8,,
2015,26,Tuas South,3.0,1.5,0.0,1.0,0.0,0.14285714285714285,1.0,1.0,1.0,30.142857142857146,33.1,28.0,5.6571428571428575,49.3,,
2015,27,Tuas South,7.0,5.0,3.0,16.6,0.0,4.371428571428572,11.8,15.2,16.4,29.271428571428572,33.5,23.4,5.671428571428572,51.1,,
2015,28,Tuas South,6.0,5.0,4.0,23.0,0.0,5.771428571428572,21.8,23.0,23.0,29.585714285714282,32.5,24.4,6.242857142857143,45.0,,
2015,29,Tuas South,2.0,1.0,0.0,16.4,0.0,2.3714285714285706,15.6,15.6,15.6,29.457142857142852,32.7,25.0,7.242857142857143,39.2,,
2015,30,Tuas South,1.0,0.5,0.0,0.6,0.0,0.14285714285714285,0.6,0.6,0.6,29.614285714285717,33.8,26.6,5.114285714285715,35.3,,
2015,31,Tuas South,7.0,7.0,7.0,17.4,0.0,2.7428571428571438,12.2,15.4,16.4,28.628571428571423,33.0,24.8,4.985714285714286,53.6,,
2015,32,Tuas South,3.0,3.0,3.0,62.4,0.0,20.65714285714285,32.8,41.6,51.0,27.714285714285715,32.1,22.6,5.2,48.6,,
2015,33,Tuas South,5.0,5.0,5.0,4.6,0.0,0.7714285714285714,4.0,4.2,4.4,28.814285714285717,33.1,25.2,4.357142857142858,26.3,,
2015,34,Tuas South,3.0,3.0,3.0,20.4,0.0,2.914285714285714,11.6,16.4,17.4,29.142857142857146,32.4,25.0,5.071428571428571,30.6,,
2015,35,Tuas South,3.0,3.0,3.0,2.6,0.0,0.4,2.0,2.0,2.6,29.2,33.2,25.2,4.5,43.6,,
2015,36,Tuas South,4.0,4.0,4.0,64.0,0.0,9.142857142857142,59.4,62.6,64.0,29.357142857142854,32.8,22.7,5.428571428571429,31.3,,
2015,37,Tuas South,3.0,3.0,3.0,14.2,0.0,2.0285714285714285,9.2,13.0,14.2,28.57142857142857,32.3,24.5,5.542857142857144,56.9,,
2015,38,Tuas South,2.0,2.0,2.0,93.0,0.0,16.34285714285714,39.0,66.2,91.8,28.57142857142857,33.3,23.8,3.885714285714286,32.4,,
2015,39,Tuas South,,,,10.4,0.0,1.4857142857142858,8.2,10.0,10.2,28.785714285714285,32.0,24.7,5.771428571428572,35.3,,
2015,40,Tuas South,4.0,4.0,4.0,84.2,0.0,15.142857142857142,55.8,78.8,83.0,28.37142857142857,32.3,23.5,5.285714285714286,50.4,,
2015,41,Tuas South,4.0,4.0,4.0,30.2,0.0,5.6571428571428575,13.6,23.0,24.4,28.52857142857143,32.5,24.5,4.342857142857143,31.3,,
2015,42,Tuas South,3.0,3.0,3.0,0.6,0.0,0.17142857142857146,0.6,0.6,0.6,29.457142857142852,32.9,27.0,4.414285714285714,22.7,,
2015,43,Tuas South,,,,8.6,0.0,1.2285714285714284,3.0,5.6,5.8,29.457142857142852,32.9,26.6,4.6714285714285735,25.9,,
2015,44,Tuas South,13.0,7.5,2.0,18.8,0.0,7.333333333333332,14.8,15.8,16.2,27.516666666666666,31.8,22.8,5.166666666666667,28.1,,
2015,45,Tuas South,8.0,8.0,8.0,22.8,0.0,4.885714285714285,12.8,22.4,22.6,28.000000000000004,32.1,24.0,6.4,36.0,,
2015,46,Tuas South,4.0,4.0,4.0,13.0,0.0,3.9428571428571435,12.4,12.8,12.8,27.857142857142854,31.8,24.6,4.628571428571427,56.9,,
2015,47,Tuas South,0.0,0.0,0.0,44.0,0.0,14.428571428571427,25.2,36.4,41.8,27.614285714285717,33.5,23.6,5.3,47.5,,
2015,48,Tuas South,4.0,4.0,4.0,24.2,0.0,11.0,14.2,20.6,22.4,27.58571428571429,33.3,24.2,5.685714285714285,54.0,,
2015,49,Tuas South,2.0,1.5,1.0,31.2,2.6,12.428571428571427,21.6,26.2,28.0,27.585714285714282,32.9,23.9,4.985714285714286,32.8,,
2015,50,Tuas South,,,,41.6,0.0,15.142857142857142,32.6,33.2,39.6,27.45714285714286,33.2,23.9,5.528571428571429,69.8,,
2015,51,Tuas South,4.0,4.0,4.0,13.6,0.0,2.4857142857142853,13.2,13.2,13.2,27.75714285714286,32.8,24.7,6.142857142857142,33.8,,
2015,52,Tuas South,11.0,11.0,11.0,31.6,0.0,6.114285714285713,24.8,30.0,31.2,28.342857142857145,33.9,23.6,5.5285714285714285,55.4,,
2015,53,Tuas South,8.0,5.5,3.0,42.4,0.0,16.8,13.6,17.6,27.2,27.3,32.7,24.5,6.025,30.6,,
2016,1,Tuas South,13.0,10.0,7.0,19.0,0.0,4.06,11.0,11.6,17.2,27.8,34.1,24.2,4.929999999999999,56.5,,
2016,2,Tuas South,21.0,16.5,12.0,43.0,0.0,12.571428571428573,27.2,32.8,37.2,27.95714285714286,32.6,24.5,4.114285714285715,37.4,,
2016,3,Tuas South,35.0,28.5,22.0,22.6,0.2,9.885714285714286,13.4,13.4,20.0,28.114285714285717,33.5,24.9,5.528571428571429,37.1,,
2016,4,Tuas South,34.0,31.0,28.0,31.8,0.0,11.971428571428573,28.4,29.4,31.4,27.857142857142854,33.2,24.2,5.6000000000000005,38.5,,
2016,5,Tuas South,25.0,22.5,20.0,15.6,0.0,6.428571428571429,13.0,14.0,14.0,28.142857142857146,33.3,24.8,6.928571428571429,36.4,34.0,34.0
2016,6,Tuas South,21.0,20.0,19.0,36.8,0.0,6.828571428571428,22.6,31.8,31.8,27.514285714285712,32.7,23.7,5.7,43.6,60.0,42.52592592592593
2016,7,Tuas South,24.0,20.0,16.0,69.0,0.0,16.342857142857145,21.2,25.2,36.4,27.428571428571434,33.4,23.4,6.014285714285713,33.1,56.0,43.198717948717956
2016,8,Tuas South,26.0,25.5,25.0,4.2,0.0,0.8285714285714286,1.6,2.2,3.6,28.1,33.4,25.3,6.942857142857144,32.0,52.0,47.92913385826772
2016,9,Tuas South,25.0,21.5,18.0,55.8,0.0,8.314285714285713,24.0,42.8,55.6,28.52857142857142,33.2,24.2,6.571428571428571,32.4,53.0,47.70192307692307
2016,10,Tuas South,20.0,17.5,15.0,12.2,0.0,3.3714285714285714,8.0,10.6,12.2,28.45714285714286,33.5,25.0,4.628571428571427,25.9,52.0,44.62121212121213
2016,11,Tuas South,12.0,10.5,9.0,6.6,0.0,0.9428571428571428,3.4,4.0,5.8,29.157142857142862,34.0,26.0,4.942857142857143,43.2,67.0,57.0875
2016,12,Tuas South,5.0,4.5,4.0,11.0,0.0,1.5714285714285714,9.8,10.8,11.0,29.37142857142857,34.4,25.3,6.085714285714286,35.3,70.0,61.544871794871796
2016,13,Tuas South,2.0,1.5,1.0,1.6,0.0,0.4857142857142858,1.4,1.6,1.6,29.67142857142857,35.6,26.7,5.514285714285713,25.6,75.0,63.65161290322581
2016,14,Tuas South,10.0,6.0,2.0,10.4,0.0,2.514285714285714,10.4,10.4,10.4,29.342857142857145,33.9,26.3,4.271428571428571,32.8,62.0,58.06896551724138
2016,15,Tuas South,9.0,7.5,6.0,22.0,0.0,3.2285714285714286,9.0,15.0,15.4,29.942857142857147,33.9,23.8,6.685714285714285,63.7,69.0,59.230769230769226
2016,16,Tuas South,2.0,1.0,0.0,23.2,0.0,5.457142857142856,15.4,19.0,23.0,29.742857142857147,35.6,25.2,4.5285714285714285,29.2,69.0,59.94656488549618
2016,17,Tuas South,2.0,1.0,0.0,15.8,0.0,3.2,10.4,15.4,15.8,29.53333333333333,33.3,25.0,5.128571428571427,34.6,71.0,64.05882352941177
2016,18,Tuas South,0.0,0.0,0.0,54.2,0.0,13.057142857142859,24.6,42.8,51.6,30.7,33.7,23.7,4.042857142857144,38.2,61.0,55.3860759493671
