,Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,avg_daily_rainfall_total,highest_60_min_rainfall,mean_temperature,range_temperature,mean_wind_speed,historical_cases_week
155,2017,2,Changi,12,9.0,6,9.084523809523807,24.35,27.400595238095242,9.75,7.341666666666668,1.8333333333333333
156,2017,3,Changi,6,5.5,5,6.088095238095237,16.849999999999998,27.392113095238088,9.775000000000002,7.505059523809526,2.0
157,2017,4,Changi,19,15.5,12,6.302380952380951,17.75,27.28497023809524,9.925,7.608630952380952,4.833333333333333
158,2017,5,Changi,8,5.5,3,4.266666666666667,14.65,27.10997023809524,9.525000000000002,7.580059523809523,5.833333333333332
159,2017,6,Changi,8,5.5,3,6.946428571428571,18.15,26.95580357142857,9.325,7.852678571428571,10.0
160,2017,7,Changi,8,6.5,5,9.19285714285714,23.3,26.74642857142857,8.825,7.914285714285715,8.833333333333334
161,2017,8,Changi,5,4.0,3,9.035714285714283,20.7,26.582142857142852,8.225,8.503571428571428,8.833333333333334
162,2017,9,Changi,6,5.5,5,7.314285714285713,14.9,26.6,8.225,10.04642857142857,5.833333333333332
163,2017,10,Changi,5,3.0,1,5.635714285714285,15.25,26.864285714285714,8.274999999999999,10.14642857142857,5.333333333333333
164,2017,11,Changi,1,1.0,1,5.05,11.25,26.803571428571423,8.225,10.953571428571427,5.333333333333333
165,2017,12,Changi,1,1.0,1,3.7571428571428567,7.85,26.885714285714283,7.9,11.17142857142857,4.166666666666667
166,2017,14,Changi,6,5.5,5,2.614285714285714,4.15,27.435714285714283,8.274999999999999,9.653571428571428,1.6666666666666667
167,2017,15,Changi,5,4.5,4,3.5499999999999994,9.05,27.510714285714286,8.499999999999998,8.410714285714285,0.6666666666666666
168,2017,16,Changi,2,2.0,2,5.328571428571427,17.5,27.7,9.599999999999998,7.271428571428572,2.1666666666666665
169,2017,17,Changi,4,2.0,0,6.564285714285713,21.25,27.69642857142857,9.749999999999998,6.939285714285715,3.333333333333333
170,2017,18,Changi,0,0.0,0,7.135714285714287,21.85,27.69642857142857,9.775,6.378571428571429,4.0
171,2017,19,Changi,4,2.0,0,7.15,24.95,27.860714285714288,10.025,6.396428571428572,2.833333333333333
172,2017,20,Changi,4,2.5,1,6.457142857142857,19.45,27.99285714285714,8.924999999999997,6.442857142857143,1.3333333333333333
173,2017,21,Changi,2,1.5,1,5.935714285714287,19.05,28.125,8.45,6.585714285714285,1.3333333333333333
174,2017,22,Changi,6,3.5,1,5.864285714285713,22.800000000000004,28.34642857142857,8.225,7.585714285714285,1.5
175,2017,23,Changi,5,3.5,2,4.742857142857143,15.45,28.5,7.8249999999999975,8.364285714285714,2.0
176,2017,24,Changi,5,2.5,0,6.042857142857143,22.85,28.553571428571423,8.349999999999998,8.92142857142857,2.5
177,2017,25,Changi,11,9.5,8,5.335714285714286,19.55,28.771428571428572,8.2,9.775,2.833333333333333
178,2017,26,Changi,14,8.0,4,4.842857142857143,15.45,28.67142857142857,8.325,9.425,3.1666666666666665
179,2017,27,Changi,7,5.0,3,5.7714285714285705,19.65,28.614285714285717,8.774999999999999,8.832142857142857,5.166666666666667
180,2017,28,Changi,10,8.5,7,3.5,9.7,28.432142857142853,8.45,8.64642857142857,6.666666666666668
181,2017,29,Changi,7,5.5,4,4.657142857142857,13.45,28.05357142857143,8.75,7.864285714285713,7.5
182,2017,30,Changi,3,2.5,2,5.471428571428572,15.75,27.725,8.55,7.671428571428572,7.166666666666668
183,2017,31,Changi,1,0.5,0,2.8785714285714286,9.05,27.935714285714283,7.475,8.878571428571428,6.333333333333332
184,2017,32,Changi,7,4.5,2,2.85,9.2,28.225,7.35,10.153571428571428,5.5
185,2017,33,Changi,6,5.5,5,1.7428571428571429,5.8,28.58928571428571,6.8,11.75,2.833333333333333
186,2017,34,Changi,3,3.0,3,0.907142857142857,2.5,28.660714285714285,6.574999999999998,11.857142857142858,2.5
187,2017,35,Changi,6,3.0,0,2.642857142857143,9.7,28.42857142857143,7.199999999999998,11.471428571428573,3.5
188,2017,36,Changi,3,2.5,2,2.85,10.4,28.210714285714282,7.225,11.07857142857143,4.333333333333333
189,2017,37,Changi,3,1.5,0,2.95,10.8,27.964285714285715,7.450000000000001,10.400000000000002,3.8333333333333335
