Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Max PSI Central,Avg PSI Central
2015,21,Ang Mo Kio,28.0,25.0,22.0,18.6,0.0,4.571428571428571,10.6,17.2,18.4,28.52857142857143,33.9,24.7,4.942857142857143,31.7,,
2015,22,Ang Mo Kio,39.0,32.5,26.0,12.0,0.0,1.9428571428571428,8.6,11.6,11.8,29.02857142857143,34.0,24.8,6.057142857142857,33.1,,
2015,23,Ang Mo Kio,33.0,33.0,33.0,31.4,0.0,5.2,20.0,22.2,23.2,28.728571428571428,34.9,24.4,5.071428571428571,30.6,,
2015,24,Ang Mo Kio,30.0,22.5,15.0,6.8,0.0,1.7714285714285711,4.8,5.4,5.8,27.857142857142854,33.2,23.8,4.985714285714286,41.4,,
2015,25,Ang Mo Kio,22.0,22.0,22.0,4.4,0.0,0.6857142857142858,3.4,3.4,3.4,28.771428571428572,33.5,22.9,5.8,37.8,,
2015,26,Ang Mo Kio,56.0,50.5,45.0,1.0,0.0,0.14285714285714285,0.6,0.6,0.6,29.8,33.6,27.7,7.7857142857142865,31.0,,
2015,27,Ang Mo Kio,67.0,61.5,56.0,35.4,0.0,6.571428571428571,23.0,32.8,35.4,29.08571428571429,33.4,22.0,6.314285714285715,55.1,,
2015,28,Ang Mo Kio,65.0,58.0,51.0,8.4,0.6,3.4857142857142853,7.0,8.2,8.4,29.157142857142862,33.2,23.9,6.414285714285714,40.7,,
2015,29,Ang Mo Kio,58.0,55.5,53.0,27.6,0.0,4.428571428571429,25.4,27.0,27.4,29.157142857142855,32.9,22.4,7.500000000000001,45.7,,
2015,30,Ang Mo Kio,72.0,54.0,36.0,1.4,0.0,0.2,1.4,1.4,1.4,29.3,33.8,25.6,7.814285714285713,39.2,,
2015,31,Ang Mo Kio,83.0,83.0,83.0,1.2,0.0,0.31428571428571433,0.6,0.8,1.2,28.342857142857145,32.9,23.4,7.271428571428572,35.6,,
2015,32,Ang Mo Kio,63.0,63.0,63.0,39.8,0.0,11.314285714285711,27.0,32.0,36.0,27.214285714285715,31.8,21.7,5.414285714285714,40.3,,
2015,33,Ang Mo Kio,26.0,26.0,26.0,4.2,0.0,0.8857142857142858,1.6,2.2,2.6,28.442857142857147,33.6,24.8,7.371428571428572,43.6,,
2015,34,Ang Mo Kio,19.0,19.0,19.0,2.0,0.0,0.4,2.0,2.0,2.0,29.0,33.1,24.8,7.528571428571429,32.8,,
2015,35,Ang Mo Kio,40.0,40.0,40.0,30.6,0.0,4.4,27.6,29.2,30.0,28.75714285714286,33.4,23.8,8.171428571428573,36.7,,
2015,36,Ang Mo Kio,56.0,41.5,27.0,0.0,0.0,0.0,0.0,0.0,0.0,29.142857142857146,33.4,27.0,8.614285714285714,36.7,,
