Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks
2018,28,Marina Barrage,7,6.5,6
2018,29,Marina Barrage,6,5.0,4
2018,30,Marina Barrage,2,1.5,1
2018,31,Marina Barrage,4,2.0,0
2018,32,Marina Barrage,10,7.0,4
2018,33,Marina Barrage,8,7.5,7
2018,34,Marina Barrage,6,5.5,5
2018,35,Marina Barrage,4,4.0,4
2018,36,Marina Barrage,4,3.5,3
2018,37,Marina Barrage,3,2.0,1
2018,38,Marina Barrage,0,0.0,0
2018,39,Marina Barrage,4,2.0,0
2018,40,Marina Barrage,3,2.5,2
2018,41,Marina Barrage,2,1.5,1
2018,42,Marina Barrage,1,0.5,0
2018,43,Marina Barrage,0,0.0,0
2018,44,Marina Barrage,4,3.0,2
2018,45,Marina Barrage,4,4.0,4
2018,46,Marina Barrage,1,1.0,1
2018,47,Marina Barrage,3,2.5,2
2018,48,Marina Barrage,1,0.5,0
2018,49,Marina Barrage,1,0.5,0
2018,50,Marina Barrage,1,1.0,1
2018,51,Marina Barrage,5,3.5,2
2018,52,Marina Barrage,7,6.0,5
2019,1,Marina Barrage,8,8.0,8
2019,2,Marina Barrage,20,14.5,9
2019,3,Marina Barrage,21,20.5,20
2019,4,Marina Barrage,29,20.5,12
2019,5,Marina Barrage,33,33.0,33
2019,14,Marina Barrage,11,11.0,11
2019,15,Marina Barrage,8,8.0,8
2019,16,Marina Barrage,17,17.0,17
2019,17,Marina Barrage,7,7.0,7
2019,18,Marina Barrage,21,15.0,9
2019,19,Marina Barrage,81,81.0,81
2019,20,Marina Barrage,66,66.0,66
2019,21,Marina Barrage,69,69.0,69
2019,22,Marina Barrage,56,56.0,56
2019,23,Marina Barrage,96,90.5,85
2019,24,Marina Barrage,92,92.0,92
2019,25,Marina Barrage,106,106.0,106
2019,26,Marina Barrage,163,163.0,163
2019,27,Marina Barrage,165,148.0,131
2019,28,Marina Barrage,206,206.0,206
2019,29,Marina Barrage,263,263.0,263
2019,30,Marina Barrage,161,161.0,161
2019,31,Marina Barrage,141,141.0,141
2019,32,Marina Barrage,133,133.0,133
2019,33,Marina Barrage,112,112.0,112
2019,35,Marina Barrage,114,114.0,114
2019,36,Marina Barrage,65,65.0,65
2019,37,Marina Barrage,66,66.0,66
2019,38,Marina Barrage,76,76.0,76
2019,39,Marina Barrage,55,55.0,55
2019,40,Marina Barrage,47,47.0,47
2019,41,Marina Barrage,41,41.0,41
2019,42,Marina Barrage,23,23.0,23
2019,43,Marina Barrage,12,12.0,12
2019,44,Marina Barrage,19,19.0,19
2019,45,Marina Barrage,26,26.0,26
2019,46,Marina Barrage,24,24.0,24
2019,47,Marina Barrage,22,22.0,22
2019,48,Marina Barrage,18,18.0,18
2019,49,Marina Barrage,24,24.0,24
2019,50,Marina Barrage,29,29.0,29
2019,51,Marina Barrage,19,19.0,19
2019,52,Marina Barrage,14,14.0,14
