Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tuas South,2014,5,28,17.0,12.4,16.8,16.8,28.6,32.4,24.9,9.5,26.3
Tuas South,2014,5,29,0.0,0.0,0.0,0.0,29.1,31.6,26.1,6.0,17.3
Tuas South,2014,5,30,19.0,8.8,9.2,9.2,28.0,30.2,25.1,9.1,34.6
Tuas South,2014,5,31,0.2,0.2,0.2,0.2,29.6,32.0,25.3,8.8,26.6
Tuas South,2014,6,1,2.2,1.0,1.6,1.6,28.8,31.8,24.7,4.9,29.5
Tuas South,2014,6,2,0.0,0.0,0.0,0.0,29.3,32.1,27.4,4.3,19.1
Tuas South,2014,6,3,4.2,4.2,4.2,4.2,29.6,32.1,27.6,4.6,21.2
Tuas South,2014,6,4,6.8,5.8,5.8,6.8,28.2,29.4,24.5,3.8,21.6
Tuas South,2014,6,5,18.0,6.0,6.0,10.2,27.3,29.1,24.9,11.4,49.7
Tuas South,2014,6,6,2.6,1.0,1.0,1.4,27.8,30.9,25.9,6.5,25.9
Tuas South,2014,6,7,0.0,0.0,0.0,0.0,29.2,32.7,26.3,5.0,23.4
Tuas South,2014,6,8,0.0,0.0,0.0,0.0,30.2,33.0,28.3,6.1,27.0
Tuas South,2014,6,9,0.0,0.0,0.0,0.0,30.1,33.5,28.4,4.7,18.4
Tuas South,2014,6,10,0.6,0.2,0.2,0.4,29.9,33.3,27.5,6.6,38.2
Tuas South,2014,6,11,0.0,0.0,0.0,0.0,30.4,33.2,28.6,5.7,22.0
Tuas South,2014,6,12,22.0,17.2,17.8,18.8,29.2,32.9,24.0,8.3,88.6
Tuas South,2014,6,13,0.0,0.0,0.0,0.0,30.2,32.9,28.1,7.2,23.0
Tuas South,2014,6,14,25.2,20.2,23.2,24.0,27.9,30.2,23.7,5.4,42.8
Tuas South,2014,6,15,0.0,0.0,0.0,0.0,29.8,31.9,27.9,8.1,21.6
Tuas South,2014,6,16,0.0,0.0,0.0,0.0,30.3,32.7,28.7,8.0,23.4
Tuas South,2014,6,17,0.0,0.0,0.0,0.0,30.6,33.2,28.7,5.7,24.5
Tuas South,2014,6,18,23.4,13.0,18.6,22.6,28.8,32.0,23.7,8.4,52.2
