Station,Year,Month,Week,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marina Barrage,2014,5,20,18,39.2,16.6,22.6,23.6,27.3,30,24.3,4.7,35.6
Marina Barrage,2014,5,21,19,9,5.6,6,6,27.6,30.7,24,5.2,31.7
Marina Barrage,2014,5,21,20,3.2,1,1.8,3,28.1,32.4,23.7,3.9,15.1
Marina Barrage,2014,5,21,21,0,0,0,0,28.8,32.7,27,3.9,17.6
Marina Barrage,2014,5,21,22,0,0,0,0,29.5,32.7,26.8,4.7,20.2
Marina Barrage,2014,5,21,23,5.2,2.2,3.2,4.2,27.8,31.9,25.1,4.1,36.7
Marina Barrage,2014,5,21,24,0,0,0,0,29,33.2,26.3,5,22.3
Marina Barrage,2014,5,21,25,0,0,0,0,30.3,33.9,27,4.5,18.4
Marina Barrage,2014,5,22,26,0,0,0,0,29.6,32.8,28.1,3.9,19.1
Marina Barrage,2014,5,22,27,10.2,7.4,9.6,10.2,28.3,30.7,25.5,5,25.2
Marina Barrage,2014,5,22,28,5,3.6,4.2,4.4,29.4,33.8,26.3,5,21.2
Marina Barrage,2014,5,22,29,0.6,0.6,0.6,0.6,29.8,33.2,27.2,3.9,15.8
Marina Barrage,2014,5,22,30,0.2,0.2,0.2,0.2,28.6,31.7,25.1,4.5,22
Marina Barrage,2014,5,22,31,0,0,0,0,29.7,32.7,27.2,4.9,24.1
Marina Barrage,2014,6,22,1,10.6,6.6,6.8,6.8,28.9,32.6,25.6,3.6,24.1
Marina Barrage,2014,6,23,2,0.2,0.2,0.2,0.2,29.6,32.9,27.6,3.7,27
Marina Barrage,2014,6,23,3,0,0,0,0,30.1,33.5,28.3,4.8,24.1
Marina Barrage,2014,6,23,4,2,0.6,0.8,1,28.5,29.7,27,4,21.2
Marina Barrage,2014,6,23,5,6,2,2.6,3,27.7,29.6,25.6,5.6,32.8
Marina Barrage,2014,6,23,6,4.4,1.6,2,2.8,27.8,31.4,26,5.3,37.1
Marina Barrage,2014,6,23,7,0.8,0.8,0.8,0.8,29.7,33.6,27.4,4.8,22.3
Marina Barrage,2014,6,23,8,0,0,0,0,30.4,33.7,28,5.1,19.1
Marina Barrage,2014,6,24,9,0,0,0,0,30.3,34.7,28.6,3.9,23.4
Marina Barrage,2014,6,24,10,0.6,0.6,0.6,0.6,30.6,34.3,28.1,4.2,24.5
Marina Barrage,2014,6,24,11,0,0,0,0,30.6,34,28.2,4.4,19.1
Marina Barrage,2014,6,24,12,5.4,3.8,4.4,5.2,,,,5.8,46.4
Marina Barrage,2014,6,24,13,0,0,0,0,30.2,34,27.7,4.3,16.2
Marina Barrage,2014,6,24,14,2.6,1.4,1.6,2.2,27.9,30.8,24.4,4,39.2
Marina Barrage,2014,6,24,15,0.4,0.2,0.4,0.4,29.7,32.6,28,4.6,18.7
Marina Barrage,2014,6,25,16,0,0,0,0,30.5,33.7,28.8,5.5,18
Marina Barrage,2014,6,25,17,0,0,0,0,31,34.4,28.7,5.4,17.3
Marina Barrage,2014,6,25,18,14,11,12,13.2,29,32.6,23.7,5.2,32.8
Marina Barrage,2014,6,25,19,7,6.4,6.6,6.6,29.3,33.7,24.5,4.7,35.3
Marina Barrage,2014,6,25,20,0,0,0,0,30.8,33.9,29,5.6,16.6
Marina Barrage,2014,6,25,21,0,0,0,0,31.1,34.5,28.9,4.4,18.7
Marina Barrage,2014,6,25,22,0.4,0.4,0.4,0.4,30.1,33.4,27.7,4.8,21.2
Marina Barrage,2014,6,26,23,0,0,0,0,30.1,33.3,28,4.6,21.6
Marina Barrage,2014,6,26,24,6.2,5.4,6.2,6.2,29.9,32.7,25.1,4.4,24.1
Marina Barrage,2014,6,26,25,0.4,0.4,0.4,0.4,28.9,31.4,25.1,6,37.4
Marina Barrage,2014,6,26,26,0,0,0,0,30,32.8,28,4.7,18.7
Marina Barrage,2014,6,26,27,0,0,0,0,28,29.3,26.2,5.5,41
Marina Barrage,2014,6,26,28,0,0,0,0,29,31.6,27.3,4.5,16.6
