Year,Week,Max National,Avg National,Max South,Avg South,Max North,Avg North,Max East,Avg East,Max Central,Avg Central,Max West,Avg West
2016.0,31.0,62.0,57.06410256410256,59.0,54.61538461538461,62.0,56.55128205128205,58.0,50.89102564102564,60.0,53.8974358974359,61.0,53.73717948717949
2016.0,32.0,71.0,61.24183006535948,65.0,58.372549019607845,71.0,60.84313725490196,63.0,55.98039215686274,65.0,57.431372549019606,64.0,56.745098039215684
2016.0,33.0,67.0,53.1025641025641,58.0,45.666666666666664,67.0,52.98717948717949,57.0,43.26923076923077,58.0,41.83974358974359,58.0,46.23076923076923
2016.0,34.0,143.0,76.75796178343948,105.0,61.40127388535032,143.0,75.8343949044586,91.0,56.31210191082803,108.0,61.63694267515923,143.0,66.94267515923566
2016.0,35.0,109.0,68.925,74.0,57.2125,109.0,68.925,76.0,54.05625,82.0,57.49375,85.0,59.1
2016.0,36.0,81.0,60.75483870967742,81.0,58.303225806451614,80.0,59.49032258064516,79.0,55.303225806451614,76.0,55.99354838709677,69.0,53.851612903225806
2016.0,37.0,64.0,56.36708860759494,62.0,52.575949367088604,64.0,56.107594936708864,63.0,50.38607594936709,60.0,50.462025316455694,58.0,46.32911392405063
2016.0,38.0,69.0,56.298611111111114,62.0,54.861111111111114,69.0,54.076388888888886,63.0,52.236111111111114,62.0,50.81944444444444,59.0,45.47222222222222
2016.0,39.0,80.0,64.74468085106383,75.0,62.1063829787234,80.0,63.46099290780142,71.0,58.59574468085106,74.0,61.680851063829785,68.0,56.09219858156028
2016.0,40.0,86.0,66.4888888888889,78.0,63.11851851851852,86.0,65.62222222222222,70.0,55.2,77.0,61.43703703703704,73.0,58.25185185185185
2016.0,41.0,62.0,53.39751552795031,58.0,49.69565217391305,62.0,50.67701863354037,53.0,43.72670807453416,57.0,45.72670807453416,60.0,43.962732919254655
2016.0,42.0,78.0,57.94904458598726,62.0,51.439490445859875,78.0,56.10828025477707,57.0,48.51592356687898,59.0,48.56687898089172,59.0,43.84076433121019
2016.0,43.0,77.0,61.50625,72.0,57.95,77.0,56.48125,65.0,55.4625,71.0,58.375,64.0,52.3375
2016.0,44.0,58.0,50.92546583850932,56.0,48.03105590062112,58.0,49.32298136645963,56.0,46.75155279503105,55.0,45.40372670807454,46.0,35.86335403726708
