date,locality,cases with onset in last 2 weeks
160108,"Pasir Ris St 11 (Blk 110, 111, 112, 113, 116, 117, 119, 120, 121, 122, 124, 125, 126, 127, 128, 129, 132, 133, 134) / Pasir Ris St 12 (Blk 101, 102, 108, 199) / Pasir Ris St 21 (Blk 213, 216) / Pasir Ris St 51 (Blk 551, 558)",13
160108,"Joo Ave / Kent Rd (Blk 53) / Mergui Rd / Owen Rd / Oxford Rd (Kentish Court, Kentish Lodge) / Perumal Rd /Race Course Rd (Blk 681, 682, 684) / Rangoon Rd (Blk 677) / Rangoon Rd (R66 Apts, Suites 123) / Rangoon Ln Rd / S'goon Rd / Sing Ave / Sing Ave (Bliss Regalia) / Sing Joo Walk / Starlight Rd / Tessensohn Rd (Blk 683)",3
160108,"Ee Teow Leng Rd / Flower Rd / Hendry Cl / Highland Cl, Rd, Walk / Hillside Dr / Jansen Rd / Jansen Rd (Jansen 28, Jansen Mansions) / Jln Sahabat / Kovan Rd / Kovan Rd (Kovana, Kovan Lodge, Kovan Melody) / Lange Rd / Palm Gr Ave (Palm Gr Condo) / Palm Gr Ave / Upp S'goon Rd (Grand Regalia) / Upp S'goon Rd",14
160108,"How Sun Dr (Sun Rosier) / How Sun Rd (Townhouse Condo) / How Sun Dr, Walk / Jln Kesoma / Jln Rindu / Lor How Sun / Lor Ong Lye (Casa Rosa) / Lor Ong Lye / S'goon Ln / Upp Paya Lebar Rd (Fragrant Gdns)",3
160108,"Golden Rise / Jln Pacheli / Li Hwan Cl, Dr, Pl, Ter, View / Tai Hwan Ln",7
160108,"Yishun St 81 (Blk 816, 821, 822, 825, 829, 830, 833, 834, 835, 836, 838, 876, 880) / Yishun St 81 (Orchid Pk Condo)",12
160108,"Guillemard Rd / Lor 4 Geylang (Wang Lodge) / Lor 7 Geylang (Centra Residence) / Lor 9 Geylang (Kim Court) / Lor 4, 6, 7, 8, 9, 11, 13 Geylang / Sims Ave",7
160108,"Joon Hiang Rd / Recreation Ln, Rd / S'goon Ctrl (Blk 201, 202, 203, 204, 205, 206, 208, 210)",4
160108,"Bangkit Rd (Blk 250, 251, 253, 257, 259A, 270, 273) / Bangkit Rd (Chestervale)",11
160108,"Lucky Hts, View / Sennett Cl / Upp East Coast Rd (The Summit, The Baycourt)",7
160108,"Shunfu Rd (Blk 309, 310, 311, 313, 315, 316, 317) / Upp Thomson Rd (Thomson Imperial Ct)",4
160108,Beatty Rd / S'goon Rd / Sturdee Rd / Sturdee Rd (Kerrisdale) / Sturdee Rd Nth (Sturdee View),4
160108,"Ang Mo Kio Ave 1 (Kingsgrove) / Tai Hwan Cl, Gr, Hts",2
160108,Changi Rd / Changi Rd (Mera East) / Jln Masjid (Bliss Residences) / Jln Wakaff (Radix) / Joo Chiat Ave / Lor G Telok Kurau / Lor H Telok Kurau / Lor Mydin / Sims View,8
160108,"Lor Lew Lian (Blk 2, 7) / S'goon Ave 1 (Blk 401, 425) / S'goon Ctrl (Blk 410, 414, 415, 417, 421, 424)",3
160108,"McNair Rd (Blk 108B, 120) / McNair Rd / Towner Rd",5
160108,"S'goon Nth Ave 1 (Blk 107, 114, 153)",4
160108,"Woodlands Ind Pk E3, E5, E7, E9",1
160108,"New Upp Changi Rd (Blk 52, 53, 54, 55)",5
160108,"Cambridge Rd (Blk 41) / Dorset Rd (Blk 49) / Farrer Pk Rd (Blk 12, 13, 15) / Gloucester Rd (Blk 9) / Owen Rd (Blk 47)",1
160108,"Woodlands Ring Rd (Blk 646, 658, 660, 663, 664)",6
160108,Geylang Rd (Le Regal) / Lor 12 Geylang / Lor 12 Geylang (Paddy Green) / Lor 14 Geylang / Lor 14 Geylang (Wing Fong Mans) / Lor 16 Geylang / Lor 16 Geylang (Canberlin Apts),3
160108,"S'goon Ave 3 (Blk 133) / S'goon Ave 3 (Amaranda Gdns, Chiltern Pk Condo, The Scala, The Springbloom)",3
160108,"Bendemeer Rd (Blk 38D, 43, 44, 47) / Whampoa South (Blk 49)",1
160108,"Corporation Rise, Walk / Kang Ching Rd (Blk 348)",3
160108,Kitchener Lk (City Sq Residences) / Kitchener Rd,4
160108,"Fedelio St / Siglap Ave South / Siglap Bank, Walk",3
160108,Geylang Rd / Lor 24A Geylang / Lor 26 Geylang (Guilin Ct) / (Lor 27 Geylang (The Alcove) / Lor 27A Geylang (Sims Green),5
160108,Jln Batai / Jln Chempedak / Jln Leban / Jln Menarong,3
160108,Lor 3 Geylang / Upp Boon Keng Rd (Blk 39),1
160108,Mei Hwan Dr (Goldenhill Pk Condo) / Mei Hwan Dr,2
160108,Bournemouth Rd,2
160108,Changi Rd / Jln Eunos / Kampong Eunos (Eunos Pk) / Sims Ave East (Eunos Green),2
160108,"Cheow Keng Rd / Tembeling Rd (Tembeling Residence, The Beacon Edge)",5
160108,Lor 1 Toa Payoh (Blk 126) / Lor 1A Toa Payoh (Blk 138A) / Lor 2 Toa Payoh (Blk 121) / Lor 3 Toa Payoh (Trevista),2
160108,"Tampines St 82 (Blk 832, 838, 842, 854)",3
160108,"Yishun Ring Rd (Blk 855) / Yishun St 81 (Blk 852, 875)",4
160108,"Bedok South Ave 3 (Blk 156, 158) / Bedok South Rd (Bedok CT) / Bedok South Rd (Blk 165)",3
160108,Boundary Rd / Lim Tua Tow Rd (Casa Cambio),3
160108,Bowmont Gdns / Jedburgh Gdns,2
160108,Brockhampton Dr / Burghley Dr,3
160108,Chuan Cl,2
160108,French Rd (Blk 808) / King Georges Ave (Blk 7) / Kitchener Rd (Blk 2),4
160108,"Geylang Bahru (Blk 55, 58)",4
160108,Goodman Rd,4
160108,"Hougang Ave 1 (Blk 101, 108)",1
160108,"Joo Chiat Ter (Celestia, One Eighties Residences) / Joo Chiat Pl (Flora East) / Joo Chiat Pl",2
160108,"Woodlands Circle (Blk 721, 726, 733, 735)",2
160108,"Woodlands St 81 (Blk 824, 825)",4
160108,"Amber Rd (The Shore Residences, The Sea View) / Amber Rd",1
160108,"Bendemeer Rd (Blk 27, 30) / Towner Rd (Blk 101)",1
160108,"Buangkok Cres (Blk 980C, 985A, 986B)",3
160108,Cardiff Gr / Chiselhurst Gr / Crichton Cl,3
160108,"Changi Rd / Frankel Cl, Ter",1
160108,"Choa Chu Kang Ave 2 (Blk 250, 252, 277)",3
160108,"Choa Chu Kang Cres (Blk 660, 690D, 692B)",1
160108,"Choa Chu Kang St 51 (Blk 505, 506, 509)",2
160108,"Hougang Ave 8 (630, 631, 637)",3
160108,"Hougang St 91 (Blk 911, 912)",1
160108,Joo Chiat Pl (Joo Chiat Verbena) / Lor H Telok Kurau,2
160108,Jurong East St 13 (Blk 109),2
160108,"Jurong West St 52 (Blk 528, 531)",1
160108,Lakepoint Dr (Lakepoint Condo),1
160108,"Lengkok Bahru (Blk 47, 53, 55)",2
160108,"Lor 3 Geylang / Lor 3 Geylang (Blk 113, 114)",1
160108,Lor Limau (Blk 76) / Lor Limau (Parc Haven),3
160108,Marina Boulevard (The Sail @ Marina Bay),3
160108,Nth Canal Rd / South Bridge Rd,3
160108,"Rowell Rd (Blk 639, 640) / Veerasamy Rd (Blk 635)",3
160108,"Sengkang East Way (Blk 121C, 122, 122B)",1
160108,Tampines St 12 (Blk 163) / Tampines St 21 (Blk 270),3
160108,"Tampines St 45 (Blk 487C, 488B, 498A)",2
160108,Tampines St 83 (Blk 884) / Tampines St 84 (Blk 883),3
160108,"Westwood Ave, Dr, Walk",3
160108,Wilkinson Rd,3
160108,"Bedok Nth Ave 2 (Blk 409, 410)",2
160108,"Bedok Nth Rd (Blk 119, 124)",2
160108,"Bedok Nth Rd (Blk 427, 428)",2
160108,"Bedok Reservoir View (Aquarius By The Bay, The Clearwater)",2
160108,Bedok South Ave 2 (Blk 9) / New Upp Changi Rd (Blk 30),1
160108,"Bt Batok St 34 (Blk 338, 341)",1
160108,"Canberra Dr (Eight Courtyards, Yishun Sapphire)",2
160108,"Chai Chee Dr (Blk 55, 58)",1
160108,Circuit Rd (Blk 87) / Paya Lebar Way (Blk 91),2
160108,Gilstead Rd,1
160108,Hougang St 51 (Blk 572) / Hougang St 61 (Blk 693),2
160108,"Jelapang Rd (Blk 522, 525)",1
160108,Jln Hock Chye,2
160108,Jln Keli / Jln Sembilang,2
160108,"Jln Raja Udang (The Arte, Global Ville)",2
160108,Jurong East St 32 (Blk 316) / Jurong East St 32 (The Mayfair),1
160108,"Jurong West St 42 (Blk 402, 404)",2
160108,"Jurong West St 65 (Blk 611, 663A)",2
160108,Marine Parade Rd (Laguna Pk),1
160108,Marine Vista (Neptune CT),2
160108,"Marsiling Ln (Blk 15, 16)",2
160108,Marsiling Rd (Blk 134) / Marsiling Rise (Blk 133),2
160108,"Mei Ling St (Blk 156, 160)",2
160108,Pasir Ris St 72 (Blk 724),2
160108,"Paya Lebar Way (Blk 121, 124)",2
160108,"Petir Rd (Blk 204, 217)",1
160108,"Rivervale Dr (Blk 188C, 190A)",2
160108,"Simei St 1 (Blk 149, 150)",1
160108,"Simei St 4 (Double Bay Residences, Modena)",1
160108,Tampines Ave 9 (Blk 493B) / Tampines St 43 (Blk 496C),1
160108,"Upp Boon Keng Rd (Blk 2B, 3C)",2
160108,Vernon Pk,2
160108,"Woodlands Dr 62 (Blk 682A, 683D)",2
160108,"Yishun Ave 5 (Blk 705, 734)",1
160111,"Tampines Ave 1 (Blk 890B) / Tampines Ave 3 / Tampines Ave 4 / Tampines Ave 4 (Blk 801, 803, 804, 805, 806, 807, 808, 809, 810, 811, 812, 815, 816) / Tampines St 81 (Blk 813, 814, 818, 819, 820, 887, 894, 894A, 895A, 897, 899, 899A) / Tampines St 91 (Blk 927, 929, 932, 933, 934, 935)",33
