unique location,lat,long
Lor 3 Geylang,1.3150551,103.8730623
Tanah Merah Kechil Lk ,1.3295629,103.9461517
Ang Mo Kio Ave 8 ,1.3705115,103.8488158
Sgn Central,1.2789227,103.8536113
"Dunman Ln, Rd",1.3088754,103.8953676
Lor 28 Geylang ,1.31212,103.8855967
Jln Kakatua ,1.3443276,103.7662525
Fernvale Cl ,1.3944623,103.879961
Joo Chiat Ln,1.3124853,103.9028281
Kallang Bahru,1.3179783,103.866604
Tanah Merah Kechil Rd,1.328329,103.9437666
Fernvale Rd,1.3936113,103.87613
Ubi Ave 1,1.3262572,103.8980834
Jln Langgar Bedok ,1.325773,103.950017
Bt Teresa Cl ,1.2764908,103.8255179
Chestnut Gdns ,1.3691931,103.7685616
Bedok Nth Ave 1 ,1.3283757,103.9267275
Lorong Marican ,1.3221269,103.9083895
Kampong,1.3840551,103.8785442
Cardiff Gr ,1.3567776,103.8661493
Jansen Rd ,1.3598716,103.8769135
Woodlands Ave 6 ,1.4387944,103.8030299
Towner Rd,1.3200278,103.8585331
Carmichael Rd,1.3428523,103.8630139
Cambridge Rd ,1.3149686,103.8485505
"Jansen Cl, Rd ",1.3586731,103.8788242
Alkaff Cres ,1.3363156,103.8722204
Pasir Ris Rise,1.3765609,103.9591194
Jln Merdu,1.3912636,103.9002441
Canberra Dr ,1.4417357,103.8281341
Margate Rd,1.2990981,103.8889116
Bedok Nth Ave1 ,1.3283757,103.9267275
Paya Lebar Way,1.322783,103.8835465
Tampines Ave 3 ,1.3497301,103.9344252
Kaki Bukit Ave 3,1.3373461,103.9088085
"Loyang Rise, View ",1.363566,103.9652551
 Changi Rd ,1.3182725,103.9085841
Figaro Gdns,1.3152269,103.9263222
Glasgow Rd,1.3612511,103.8782066
Tampines St 84,1.3526996,103.9324682
Jln Tenaga,1.3324728,103.9065967
Jurong St 65 ,1.339965,103.7010383
Punggol Rd ,1.3999093,103.9049842
Lor 16 Geylang ,1.3112478,103.8799103
"Bedok Ave, Gdn, Rd ",1.3217159,103.9527354
"Lor 104, 105Changi",1.3159148,103.9021693
"Lor 14, 16, 20Geylang",1.3111228,103.8792018
Jln Eunos ,1.3241077,103.9054983
Gentle Dr ,1.3206892,103.8412974
Woodlands Dr 72,1.4434388,103.8044632
Yishun St 61,1.4205827,103.8377255
Jln Aruan ,1.313115,103.8428128
S'goon Ave 1 ,1.34569,103.877541
Lewis Rd ,1.3202967,103.8227737
"Pasir Ris Dr 3, Dr 4, Lk ",1.3750909,103.9534875
Bt Panjang Ring Rd ,1.3863791,103.7645466
Chuan Hoe Ave ,1.3644628,103.8761639
Jln Manis ,1.3257381,103.8633699
Gambas Cres ,1.4432674,103.8165436
Upp Boon Keng Rd  ,1.314381,103.8720873
Edgefield Walk ,1.4007868,103.9102933
Saujana Rd ,1.382471,103.7668197
Whampoa Rd ,1.3260052,103.8563608
Kaki Bt Rd 3,1.3366588,103.9041606
"Lor 12, 16 Geylang",1.3112602,103.8783433
Woodlands Sq,1.4360643,103.7851323
Jln Jamal ,1.3135408,103.9251949
Compassvale St ,1.3951499,103.8980618
Choa Chu Kang Ave 1,1.3767075,103.7450031
Geylang East Ctrl,1.3189743,103.8867498
Pasir Ris St51 ,1.3682213,103.9495464
Lakeside Dr ,1.3426768,103.7200945
Marine Ter,1.3051032,103.9153271
Wholesale Ctr,1.2862931,103.7774184
Kee Choe Ave,1.3314649,103.8731039
Ceylon Rd ,1.308566,103.9006498
Choa Chu Kang Ave 2,1.3783588,103.7427563
"Bt Purmei Rd Blk 109, 115)",1.2739482,103.8252941
WoodlandsCres ,1.4468524,103.8024146
Siglap Rd ,1.313587,103.923105
JurongWest St 65,1.339965,103.7010383
"Toh Dr, Hts",1.3642011,103.973161
Cassia Cres ,1.3098219,103.8845413
Compassvale Dr ,1.3878883,103.8969344
Belimbang Rd ,1.3238142,103.8861799
Brighton Cres ,1.3621374,103.8704052
"Haig Ave, Ln, Rd",1.3079487,103.8993598
Loyang Rise ,1.363566,103.9652551
"Poh Huat Rd, Ter",1.3665259,103.8822719
Hougang Ave 7 ,1.3677419,103.8982756
Beo Cres ,1.2891612,103.8270425
Defu Ln 9,1.3512164,103.8935144
Lor Lew Lian ,1.3503431,103.8773085
Middle Rd ,1.298544,103.8538892
McNair Rd,1.3200278,103.8585331
Chia Ping Rd ,1.3288877,103.7190145
Jln Rahmat ,1.3213771,103.9082299
Clementi Ave 1 ,1.3102836,103.7685092
Buangkok Cres ,1.383764,103.8805921
Kim Chuan Dr,1.340424,103.891245
Chiap GuanAve ,1.3610156,103.8758142
Hougang St 21 ,1.358001,103.8857472
Jln Raya ,1.3284855,103.8831132
Ang Mio Kio Ave 10 ,1.366942,103.856596
"Duku Ln, Pl, Rd ",1.3098494,103.9068991
Gambir Walk,1.3442235,103.8744852
Lor 3 Geylang ,1.3150551,103.8730623
Commonwealth Cl ,1.3045838,103.7994061
Jln Lekar,1.3803806,103.7226967
Sophia Rd ,1.3020842,103.8473702
Maria Ave ,1.3215313,103.9211889
Bayshore Rd,1.3132123,103.9403992
Bt Batok West Ave 9,1.3547991,103.7418879
Gerald Dr ,1.3843675,103.8774573
Jln Selamat ,1.3250068,103.9154903
Jln Merlimau,1.3237404,103.8406522
Lor 20 Geylang ,1.311358,103.8813418
"Eunos Ave 1, 4, 5, 5A, 6, 7, 8A ",1.3222525,103.8969423
Lor Sarina,1.3196698,103.9077417
Jln Saudara Ku,1.3107941,103.9207921
Haig Rd ,1.3094682,103.8977379
"Daisy Ave, Rd ",1.3448137,103.8668251
Jln Sinar Bulan ,1.3624921,103.9718343
"Faber Ave, Green",1.3175707,103.7584373
Telok Blangah Hts ,1.2766698,103.8114559
"Bedok Ln, Rd",1.3288153,103.9479887
Eunos Ave 5B ,1.3213634,103.8972683
Tampines St 81 ,1.3483827,103.933707
Everitt Rd ,1.3123225,103.9029585
Aida St ,1.3186847,103.9279885
Chai Chee St ,1.328435,103.9226395
Somme Rd ,1.311234,103.8583515
Lakepoint Dr ,1.3407539,103.7176514
Corporation Rise ,1.3395759,103.7174149
Lor 25 Geylang,1.3144854,103.8824746
Brighton Ave,1.3609691,103.8726472
Pipit Rd ,1.3238142,103.8861799
Keat Hong Lk ,1.3759349,103.743237
Tai Hwan Gr,1.355786,103.8594344
S'goon Central ,1.349128,103.8734316
Anthony Rd ,1.3105607,103.8378691
Everton Rd,1.2756464,103.8386912
Edgefield Plains ,1.4005857,103.9088722
"223B, 223C,Compassvale Dr",1.3870119,103.8996459
Kranji Way,1.4386053,103.7422027
Hougang Ave 10 ,1.3730673,103.8918396
Sector C Sin Ming Ind Est ,1.3583677,103.8380961
Peakville Ave,1.3326308,103.9450872
 Pasir Ris St 21 ,1.3682576,103.9621864
Vernon Pk ,1.338838,103.8763884
Boon Lay Dr,1.3437874,103.7127992
Bayshore Rd ,1.3132123,103.9403992
Merryn Ter ,1.325204,103.826459
Harlyn Rd ,1.3244305,103.8231535
CompassvaleWalk ,1.3894637,103.8985067
"Aroozoo Ave, Ln",1.3553669,103.8853119
Jln Hajjah ,1.3134769,103.9356559
Hume Ave ,1.3570639,103.7673642
Hooper Rd,1.3115677,103.8435575
Compassvale walk ,1.3894637,103.8985067
Laguna Golf Green,1.3257132,103.963143
Henderson Rd,1.2804083,103.8176
Waringin Walk,1.3216725,103.9186942
Farleigh Ave ,1.365388,103.8640639
Ghim Moh Lk ,1.3117378,103.7874454
St George's Rd ,1.3231352,103.862383
Tampines St 12 ,1.3499048,103.9450892
Eng Kong Pl,1.3340868,103.7676095
Cornwall GdnsFarrer Rd ,1.3162359,103.8009036
"Kim Chuan Ln, Ter",1.338753,103.8906
Telok BlangahRise ,1.2726409,103.821383
Cheow Keng Rd ,1.3073396,103.9058467
College Ave East ,1.3065691,103.7738555
Lor 19 Geylang ,1.3141101,103.8791277
"East Coast Ave, Rd, Ter",1.3099359,103.9236144
Tampines St 44,1.3601158,103.953885
Jln Batalong East ,1.3621684,103.9681817
"Westwood Ave, Cres, Walk",1.3511997,103.6990227
Bedok Nth St 1 ,1.3272295,103.9308212
Boon Teck Rd,1.3269162,103.8500812
Somapah Rd ,1.3395866,103.9629789
 Hougang Ave 3 ,1.3524666,103.8908204
Jln Hikayat,1.4381043,103.8273961
"Brighton Ave, Cres ",1.3609691,103.8726472
"Lor 4, 6, 7Realty Park",1.3393676,103.8507177
Faber Ave ,1.3175707,103.7584373
Sing Joo Walk,1.3152284,103.8553178
Lor 8 Toa Payoh,1.3397838,103.8564707
Bt Batok WestAve 2 ,1.3578222,103.7472428
"Eastwood Dr, Green, Pl, Rd, Ter Walk, Way",1.3233243,103.9557363
Tampines St 72 ,1.3593543,103.93467
Jln Sendudok ,1.4440746,103.825111
Tampines Ctrl 1 ,1.3545669,103.9452518
Lor 12 Geylang ,1.3111065,103.8783633
Jln Rumah Tinggi ,1.287859,103.8094538
South Buona Vista Rd,1.2859845,103.7857387
Jln Cherpen ,1.4370103,103.8275057
Colchester Grove ,1.3579888,103.8673666
Toh Guan Rd East,1.3368715,103.7521614
Jln Hitam Manis,1.3090926,103.7977091
"Parry View,Walk",1.3658545,103.8790057
Commonwealth Ave ,1.3005547,103.8003086
Charlton Rd ,1.3549226,103.8817505
Lor H Telok Kurau ,1.3162713,103.9107491
Jurong West St65 ,1.339965,103.7010383
Eunos Ave 5 ,1.3212123,103.8972956
Bendemeer Rd ,1.3206315,103.865235
Ang? Mo Kio St 52 ,1.3724727,103.8536388
Jln Jelita ,1.3161178,103.7867441
Berrima Rd ,1.3255622,103.8238264
Pasir Ris St 72,1.3803551,103.9364814
Lor 24 Geylang ,1.3122073,103.8833391
Ho Ching Rd ,1.3344133,103.7240854
Fernvale Ln,1.3894612,103.8708423
Coronation Rd West ,1.3197816,103.7945875
Boon Lay Pl ,1.3468417,103.7128488
Choa ChuKang Ave 2,1.3783588,103.7427563
Dix Rd ,1.360537,103.8762414
Bedok Nth Ave 2 ,1.3306032,103.9306044
Bishan St 22,1.3573661,103.8452482
Woodleigh Cl ,1.33621,103.8682851
Celyon Rd ,1.308566,103.9006498
College Ave East,1.3065691,103.7738555
Choa Chu Kang Ave 1 ,1.3767075,103.7450031
Jurong West St 91 ,1.3418091,103.6898549
Choa Chu KangAve 2 ,1.3783588,103.7427563
Opal Cres ,1.3279128,103.8670492
Jurong West Street 42 ,1.3532078,103.721804
Jurong West Ave 5,1.3465681,103.6969139
Seletar Hills Dr,1.3852143,103.874881
Jln Rebana,1.3635873,103.8283589
Jln Binchang,1.3535756,103.8468187
Ang Mo Kio Ind Pk 2A ,1.377574,103.8695404
Compassvale Lk ,1.3972429,103.8982054
Jln Sembilang ,1.3560091,103.8350375
Alexandra Rd,1.2884712,103.8055757
Lor 40 Geylang,1.3134095,103.8898491
Kaki Bukit Rd 3,1.3366588,103.9041606
Jln Damai ,1.3334879,103.9094395
Dorset Rd,1.3134015,103.8503232
Everitt Rd,1.3123225,103.9029585
Parry View,1.3658545,103.8790057
Bt Batok St 21,1.3464976,103.7533512
Hougang St 31 ,1.3629171,103.8894174
Yio Chu Kang Rd,1.3913524,103.8565907
Kitchener Rd ,1.3097324,103.8573824
Bideford Rd ,1.3042401,103.8365352
Towner Rd ,1.3200278,103.8585331
Compassvale Ln,1.3857253,103.8983491
Anchorvale Lk ,1.395122,103.8886654
Lor 13 Geylang ,1.3131134,103.8775546
Woodlands Dr 44 ,1.4314329,103.7944937
Woodlands St 41,1.4293302,103.7731592
"Yunnan Dr 1, Rd, Walk 1, Walk 3",1.338483,103.69212
Joo Seng Rd,1.3363406,103.8819507
Desker Rd ,1.3089271,103.8553452
Jln Dua ,1.309026,103.887627
Jln Taman ,1.3260412,103.864795
Jln Mariam ,1.3622256,103.9694691
Mt Vernon Rd ,1.3403804,103.8795063
West Coast Cres ,1.2980115,103.7656587
Jln Jamal,1.3135408,103.9251949
Cantonment Cl ,1.275071,103.8403629
Choa Chu Kang Grove ,1.373976,103.7490003
Kim Keat Cl,1.3239373,103.8534166
Pasir Ris Gr,1.371058,103.9452663
Shunfu Rd,1.3519757,103.8374493
Kovan Rise ,1.3625239,103.8858487
Pheng Geck Ave ,1.331343,103.8698759
Yung Sheng Rd ,1.3341693,103.7214448
Champions Way ,1.4296071,103.7896912
Yishun Ind Pk A,1.4427286,103.8350932
Cashew Cres,1.3714452,103.7694569
Bt Batok St 24 ,1.3425888,103.7563114
Leedon Hts ,1.3145179,103.8022928
Defu Ave 2,1.3604122,103.9010609
Kew Dr ,1.3204241,103.9506355
"Clover Ave, Cres ",1.3508011,103.8439636
Joo Koon Rd ,1.325691,103.6710587
Woodlands Dr 50 ,1.437081,103.7935954
"Yunnan Dr 1, Dr 3, Rd, Walk 1",1.33844,103.692066
Jln Tani,1.3668101,103.884883
Punggol Field Walk ,1.3919511,103.9125735
Jln Lepas ,1.356038,103.888052
Pasir Ris Link ,1.3770173,103.960499
Compassvale Cres ,1.3972429,103.8982054
Green Ln,1.3112417,103.8926889
Tai Hwan Ter,1.3569596,103.8601269
Pulasan Rd,1.3113672,103.9065825
"Bedok Ln, Walk",1.3288153,103.9479887
Bt Batok EastAve 4 ,1.349414,103.7583806
Woodlands Ave 9 ,1.4482327,103.7986104
Crane Rd ,1.3125702,103.899076
Lor Pisang Hijau ,1.3442145,103.7727925
Jln Redop ,1.3854123,103.8706659
"Lor 7, 9Geylang ",1.3125935,103.8758157
Jln Singa ,1.3307509,103.9073668
Holland Ave,1.3090088,103.7950497
Carisbrooke Gr,1.3586007,103.864978
Bt Batok East Ave 2 ,1.3512787,103.7566479
Punggol Walk ,1.4052938,103.9005026
Sengkang East Ave ,1.38659,103.8937365
"How Sun Dr, Walk ",1.344532,103.8789432
Robin Ln ,1.3198724,103.8270901
"Lor 24, 24A, 26, 28, 32 Geylang ",1.3120303,103.8833462
Jln Ketumbit ,1.3847403,103.874377
Jurong West St 64,1.3415002,103.7032926
Hougang St 21,1.358001,103.8857472
Bt Merah View ,1.2841648,103.8215886
Jln Senang ,1.3251828,103.9162698
Kitchener Link ,1.3116455,103.8572206
Joo Chiat Pl ,1.3143557,103.9068343
Brockhampton Dr ,1.3605748,103.8613466
Telok Kurau Rd,1.3122916,103.9108615
Clementi Ave 2,1.3114966,103.7675414
Jln Lapang ,1.3228533,103.9165664
Holland Rd ,1.3129427,103.7983813
Clementi West St 1 ,1.3047221,103.7666794
Cardiff Grove ,1.3567776,103.8661493
Cashew Cres ,1.3714452,103.7694569
Chestnut Ave,1.3707347,103.7767915
Kaki Bt Pl ,1.3352173,103.9036946
Jln Keruing ,1.3842695,103.8738796
Tanah Merah ,1.3272444,103.9464897
"Lor 6, 8, 12, 14Geylang",1.3114014,103.8762991
"Lor 24A, 26,28 Geylang",1.3124236,103.8839383
Sembawang Pl,1.4387513,103.8247125
Aljunied Cres ,1.3202748,103.8856818
Koon Seng Rd ,1.3115593,103.9042873
"Pk Villas Green, Ter",1.3679257,103.8794579
Kg Arang Rd ,1.3001369,103.8822052
Kaki Bt Industrial Ter,1.3357532,103.9021851
Branksome Rd ,1.3035753,103.891135
Yunnan Cres,1.3385142,103.6921797
"Eastwood Dr, Green, Pl, Walk ",1.3233243,103.9557363
Clementi Ave 3 ,1.313797,103.7634959
Kitchener Lk ,1.3097324,103.8573824
Jln Sultan ,1.3032113,103.8611992
Clementi St 13 ,1.3235932,103.7711366
Elite Pk Ave ,1.3150496,103.9242988
"Bedok Ria Cres, Pl",1.326854,103.9531946
Choa Chu KangAve 1 ,1.3767075,103.7450031
Anchorvale Link ,1.3920408,103.8901
Cable Rd ,1.2952851,103.824734
Montreal Dr ,1.4516935,103.8244384
Colchester Gr ,1.3579888,103.8673666
Kensington Pk Rd ,1.3667825,103.8664548
Lor 108 Changi,1.3167547,103.904547
"Frankel Cl, Dr, St",1.3182785,103.9146352
How Sun Dr,1.344532,103.8789432
"Kim Keat Cl, Ln ",1.3239373,103.8534166
Lor Ong Lye,1.3479061,103.8790427
Woodlands Dr 70 ,1.4411362,103.7983161
Jurong East St 13 ,1.3370334,103.7372944
Telok Blangah St 31 ,1.2751923,103.8067513
Jln Tua Kong ,1.3155361,103.9257955
Tampines St 22 ,1.3490889,103.9510797
Hougang Ave 10,1.3730673,103.8918396
Belmont Rd ,1.3158574,103.7986195
Anchorvale Link,1.3920408,103.8901
Tanjong Katong Rd,1.3078724,103.8952083
How Sun Close,1.3435433,103.8812554
 Jln Bangau ,1.3837573,103.8715861
Rivervale Dr ,1.3872989,103.9045675
Marine Parade Rd,1.3073706,103.9179643
Jln LoyangBesar ,1.3785756,103.9606109
Ang Mo Kio Ave 6 ,1.3762298,103.8448176
Lor J Telok Kurau ,1.3140655,103.9109188
Nallur Rd ,1.3123104,103.9321836
Marsiling Rise ,1.4393379,103.7811348
Hougang St 92 ,1.3732518,103.8795201
Limau Gdn ,1.3222048,103.9497438
Lor 42 Geylang ,1.3143639,103.8902446
Telok Blangah Rise ,1.2726409,103.821383
Marina Boulevard ,1.2806877,103.8542979
"JlnGelenggang,Tarum ",1.3746426,103.8302701
Jln Masjid ,1.3198827,103.9124579
"Li Hwan Cl, View",1.3551737,103.8637373
Aroozoo Ave,1.3553669,103.8853119
Parry Ter ,1.3666472,103.8782336
Jln Songket,1.3566713,103.8864443
"Lor G, H TelokKurau",1.315744,103.905861
Pasir Ris Dr 4,1.3735869,103.9609009
Ashwood Grove,1.4289664,103.7767367
Jln Bintang Tiga ,1.322092,103.9253568
Yishun Ave 5,1.4304017,103.8310578
Trevose Cres ,1.3266707,103.8225016
Balmeg Hill ,1.2827035,103.7828921
Bedok Nth Ave 4 ,1.3349588,103.9435684
Yishun Ind St1 ,1.4372807,103.8432107
Lengkok Bahru ,1.2869338,103.8137417
Yuk Tong Ave,1.3447663,103.7728106
Chun Tin Rd ,1.3419378,103.7738584
Jurong West St 61 ,1.3385893,103.6984964
Balestier Rd ,1.3214951,103.8528591
"Li Hwan Cl, Dr, Ter, View",1.3551737,103.8637373
Lengkong Dua ,1.3258695,103.9120939
Angklong Ln ,1.3631364,103.8296946
Golden Walk ,1.355893,103.8616124
Recreation Rd ,1.35221,103.8749385
Bedok Industrial Pk E,1.3360729,103.9500561
"Sea Breeze Ave, Walk ",1.3374304,103.9527258
"Lor 6, 7 Realty Pk ",1.3684442,103.8876375
"Happy AveCentral,East, Nth ",1.3304365,103.8808861
Casuarina Walk ,1.3763009,103.8269126
Jln Kesoma,1.3464474,103.8785457
Lengkong Satu ,1.32655,103.9129864
"Thomson Ter, Walk",1.377721,103.8315542
Ang Mo Kio Ave 4 ,1.3763427,103.8394465
Chai Chee Rd ,1.325311,103.9232153
Jln Membina,1.2834914,103.8266828
Lor Marzuki,1.3224195,103.9089218
Jurong West St52 ,1.3481732,103.7177667
Jln Pacheli ,1.3559757,103.862811
"Joo Chiat Rd,Ter",1.3099091,103.9020269
Fidelio St ,1.3190956,103.9229971
Paya Lebar,1.3516087,103.899516
"Hougang Ave 3, Hougang Ave 3 ",1.3524666,103.8908204
Corporation Dr ,1.3330012,103.7231731
"Verde Cres, Grove",1.3903926,103.7508486
Jurong West St 81 ,1.3471387,103.6951024
Tanjong KatongRd,1.3078724,103.8952083
Jln Kakatua,1.3443276,103.7662525
Dalhousie Ln ,1.3049241,103.8522072
Choa Chu Kang St 64,1.397576,103.750071
Hillview Ave ,1.3596007,103.7638949
Gerald Cres,1.3869045,103.8761499
Woodlands Dr 62 ,1.4394069,103.8052876
Jurong East St 32 ,1.3470214,103.7338564
Jln Kechubong,1.3858384,103.8761856
Jurong West St 65 ,1.339965,103.7010383
Jln Sentosa ,1.3229507,103.9173352
Hougang St21 ,1.358001,103.8857472
Chiselhurst Grove ,1.3581773,103.8657746
Simei St 3 ,1.3418992,103.9532374
Simei Rd ,1.3442561,103.9577294
Jurong West St41 ,1.3482954,103.7232588
Maria Ave,1.3215313,103.9211889
Ang Mo Kio Ave 3 ,1.3689086,103.8572848
Tamarind Rd ,1.3891829,103.8605291
Paya Lebar Cres ,1.3485113,103.882639
Kampong Arang Rd ,1.3001369,103.8822052
Wellington Circle ,1.4531146,103.8215989
Tanah Merah Kechil Rd ,1.328329,103.9437666
Clementi St 12 ,1.3225224,103.7699016
Buckley Rd ,1.3174266,103.8403998
Hougang Ave 8 ,1.3747735,103.8883372
Woodlands Ind Pk E1 ,1.454204,103.7975007
Jln PutehJerneh ,1.3092209,103.7983258
Toh Cl ,1.3637923,103.9711281
"Farrer Dr, Rd ",1.3147724,103.8065877
Ang Mo Kio Central 3,1.3752115,103.8471299
"Tai Hwan Pl, Ter",1.3569705,103.860841
HougangAve 3 ,1.3524666,103.8908204
"How Sun Ave, Cl ",1.3448685,103.8806696
Tampines Pl ,1.3672202,103.9290702
Frankel Ave,1.3165614,103.9178136
Jurong West St 74 ,1.3493888,103.6992194
Boon Lay Ave,1.3469855,103.7103633
Geylang Serai ,1.3200544,103.8917746
Martaban Rd,1.3230789,103.8503793
Chestnut Ave ,1.3707347,103.7767915
Jln Jurong Kechil,1.3429015,103.7704492
"Lor K, L Telok Kurau",1.3122916,103.9108615
Cassia Cres,1.3098219,103.8845413
Woodlands St 13 ,1.4349802,103.7776654
Joo Chiat Ln ,1.3124853,103.9028281
Quemoy Rd,1.3446031,103.8814383
Hougang St 11 ,1.3519335,103.8801928
Clementi West St 2 ,1.3036513,103.7627819
Lor L Telok Kurau,1.3119655,103.9118591
Tampines St 84 ,1.3526996,103.9324682
Eunos Ave 3,1.3198598,103.8962698
Haig Ln ,1.3089762,103.8987395
 Gangsa Rd ,1.3778066,103.7663345
Yishun St 72 ,1.4267849,103.8326604
Canberra Lk ,1.44691,103.827499
"Begonia Ln, Ter ",1.3863362,103.8616866
Punggol Way ,1.410694,103.899895
Tampines St 33,1.352159,103.9600783
Joo Ave,1.315322,103.8551676
Joo Chiat Rd ,1.3099091,103.9020269
Ang Mo Kio Avenue 3<br,1.3689086,103.8572848
Jln Anak Bt ,1.3410597,103.7781393
Bt Batok West Ave 9 ,1.3547991,103.7418879
Rose Ln ,1.3102974,103.8934575
Kaki Bkt Industrial Ter,1.3357532,103.9021851
Grange Rd ,1.2997186,103.8307763
Almond St,1.3714839,103.772803
Tampines St 34 ,1.3559002,103.960135
"Sungei Kadut St 4, 5",1.418763,103.748896
Lor Napiri,1.3714754,103.8777569
Keng Chin Rd ,1.3178498,103.8304962
MacPherson Rd ,1.3312078,103.8789855
"Lor 20, 22 Geylang ",1.3120355,103.8812723
Merryn Rd ,1.3263411,103.8246563
Silat Ave ,1.2764278,103.8305724
Tuas View Square ,1.3003895,103.6283998
Kim Tian Rd ,1.2825306,103.8276362
Mayflower Way,1.3721632,103.8402875
Jln Mastuli ,1.3549868,103.8855151
Pasir Ris Dr 3 ,1.37497,103.9516458
"Lor 14, 16Geylang",1.3111228,103.8792018
Meyer Rd ,1.2971589,103.8913837
Kaki Bt Ind Ter ,1.3357532,103.9021851
Circuit Link ,1.3260599,103.8893455
Whitchurch Rd,1.2936496,103.7975174
S'goon Nth ,1.3637712,103.8739389
S'goon Ave 2 ,1.349128,103.8734316
"Highland Rd, Walk ",1.3578343,103.8788724
Tampines St 12,1.3499048,103.9450892
Jln Korban ,1.3445574,103.8837573
Pasir Ris St 51 ,1.367898,103.9525058
Jln Kesoma ,1.3464474,103.8785457
Yishun Ave 3 ,1.4238094,103.8299308
Hougang St 61 ,1.3747006,103.886414
Toh Yi Dr ,1.3380803,103.7716335
Eastwood Ter,1.3218063,103.9569024
Kang Choo BinRd ,1.3655628,103.8821499
Bedok South Ave 2 ,1.3222585,103.9374146
