ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
88 TELOK AYER STREET FAR EAST SQUARE SINGAPORE 048470,88,FAR EAST SQUARE,1.2827145607859098,103.848590125427,103.848590125427,048470,TELOK AYER STREET,FAR EAST SQUARE,29699.597595775496,29461.5839134883
90 TELOK AYER STREET FAR EAST SQUARE SINGAPORE 048471,90,FAR EAST SQUARE,1.2827145607859098,103.848590125427,103.848590125427,048471,TELOK AYER STREET,FAR EAST SQUARE,29699.597595775496,29461.5839134883
92 TELOK AYER STREET FAR EAST SQUARE SINGAPORE 048472,92,FAR EAST SQUARE,1.2827145607859098,103.848590125427,103.848590125427,048472,TELOK AYER STREET,FAR EAST SQUARE,29699.597595775496,29461.5839134883
94 TELOK AYER STREET FAR EAST SQUARE SINGAPORE 048473,94,FAR EAST SQUARE,1.2827145607859098,103.848590125427,103.848590125427,048473,TELOK AYER STREET,FAR EAST SQUARE,29699.597595775496,29461.5839134883
98 TELOK AYER STREET YING FO FUI KUN SINGAPORE 048474,98,YING FO FUI KUN,1.28253053881944,103.848409397824,103.848409397824,048474,TELOK AYER STREET,YING FO FUI KUN,29679.4842179148,29441.235595539198
1 SOUTH CANAL ROAD SINGAPORE 048508,1,NIL,1.28578886408588,103.84983630609399,103.84983630609399,048508,SOUTH CANAL ROAD,1 SOUTH CANAL ROAD SINGAPORE 048508,29838.2850734163,29801.5253638923
1 ROBINSON ROAD AIA TOWER SINGAPORE 048542,1,AIA TOWER,1.28198667866149,103.85112248247299,103.85112248247299,048542,ROBINSON ROAD,AIA TOWER,29981.4286944233,29381.100285405297
4 ROBINSON ROAD THE HOUSE OF EDEN SINGAPORE 048543,4,THE HOUSE OF EDEN,1.28235484318145,103.850938893316,103.850938893316,048543,ROBINSON ROAD,THE HOUSE OF EDEN,29960.9964433555,29421.809876000498
8 ROBINSON ROAD ASO BUILDING SINGAPORE 048544,8,ASO BUILDING,1.2822719592691398,103.850822525949,103.850822525949,048544,ROBINSON ROAD,ASO BUILDING,29948.0457719658,29412.6449121386
14 ROBINSON ROAD FAR EAST FINANCE BUILDING SINGAPORE 048545,14,FAR EAST FINANCE BUILDING,1.28211736176233,103.85077422854799,103.85077422854799,048545,ROBINSON ROAD,FAR EAST FINANCE BUILDING,29942.6707834173,29395.5502813663
14 ROBINSON ROAD ROSEMARY HALL MONTESSORI ROBINSON CHILDCARE CENTRE SINGAPORE 048545,14,ROSEMARY HALL MONTESSORI ROBINSON CHILDCARE CENTRE,1.28214167321935,103.850754841091,103.850754841091,048545,ROBINSON ROAD,ROSEMARY HALL MONTESSORI ROBINSON CHILDCARE CENTRE,29940.513099930202,29398.238502072203
18 ROBINSON ROAD 18 ROBINSON SINGAPORE 048547,18,18 ROBINSON,1.28181879714492,103.85055997656,103.85055997656,048547,ROBINSON ROAD,18 ROBINSON,29918.8265133481,29362.536386167598
6 RAFFLES QUAY SINGAPORE 048580,6,NIL,1.2818123165501,103.851384344667,103.851384344667,048580,RAFFLES QUAY,6 RAFFLES QUAY SINGAPORE 048580,30010.5719501339,29361.8204272799
16 RAFFLES QUAY EMBASSY OF THE REPUBLIC OF PANAMA SINGAPORE 048581,16,EMBASSY OF THE REPUBLIC OF PANAMA,1.28136301224218,103.850919074926,103.850919074926,048581,RAFFLES QUAY,EMBASSY OF THE REPUBLIC OF PANAMA,29958.7915720809,29312.138316662997
16 RAFFLES QUAY HONG LEONG BUILDING SINGAPORE 048581,16,HONG LEONG BUILDING,1.28136301224218,103.850919074926,103.850919074926,048581,RAFFLES QUAY,HONG LEONG BUILDING,29958.7915720809,29312.138316662997
16 RAFFLES QUAY ROYAL NORWEGIAN EMBASSY SINGAPORE 048581,16,ROYAL NORWEGIAN EMBASSY,1.28136301224218,103.850919074926,103.850919074926,048581,RAFFLES QUAY,ROYAL NORWEGIAN EMBASSY,29958.7915720809,29312.138316662997
18 RAFFLES QUAY FORMER TELOK AYER MARKET (LAU PA SAT) SINGAPORE 048582,18,FORMER TELOK AYER MARKET (LAU PA SAT),1.2806538681464499,103.85041271856701,103.85041271856701,048582,RAFFLES QUAY,FORMER TELOK AYER MARKET (LAU PA SAT),29902.4387610685,29233.7244435735
