unique location,X,Y
Old Choa Chu Kang Road ,15203.2404349269,39687.464274033904
Sembawang Drive ,,
Kaki Bt Road 3,,
Clementi Avenue 4 ,,
Bayshore Road ,,
Jalan Masjid ,36816.734255039104,33538.086857006
Kranji Way,18678.2506206278,46240.2277713325
Tampines Avenue 3 ,,
Punggol Drive ,,
"Kew Cres, Walk",,
Ruby Lane,,
Shunfu Road ,28557.4184012041,36830.5990498066
Parliament Pl ,,
ColdStreetream Avenue ,,
Jalan Jurong Kechil,20905.8505169703,36254.298486175
"Clover Avenue, Cres ",,
Jalan Kelempong ,,
Fulton Avenue ,27920.4485396715,38203.0989553873
 Kurau Gr ,,
Anchorvale Link,34468.3032964421,41114.2921835892
Bayshore Road,,
Shan Road,29507.5314997379,34238.2172531094
Geylang Road ,32381.0281637833,32555.4002927039
Upp Boon Keng Road  ,,
Bkt Timah Road ,,
Jalan Limau Bali ,,
Laguna Golf Green,42401.6722232169,33946.3219288029
Pasir Ris Drive 4,42254.1038770089,39487.269771505096
"Sea Breeze Avenue, Walk ",,
Court Road ,,
Woodlands Drive 52 ,24075.746229959703,46127.7024254166
Eunos Avenue 5 ,35444.7428818522,33809.3724387884
Bayshore Road ,39880.2693023579,32978.9686407652
Tampines Street 21 ,,
Ee Teow Leng Road,,
Bedok Reservoir View ,,
Pandan Gardens,18760.8948379252,33623.8016099129
"Eng Kong Cres,Terminal",,
Woodlands Drive 14 ,,
Boscombe Road ,,
Highland Road ,,
Kaki Bt Indus Terminal ,,
"WeStreet CoaStreet Avenue, Lane, Terminal",,
Jalan Satu ,34049.1903047804,32494.521419283
Jalan Malu­Malu ,,
Tampines Street 82 ,,
Tampines Street 12 ,,
Compassvale Cres ,,
Parliament Pl ,,
Lorong 5 ToaPayoh ,,
Jalan Jelita ,22996.9307589345,33166.397136874504
Pasir Ris Drive 3 ,39974.554313780696,40196.327860746496
Jurong WeStreetAvenue 1 ,,
Jurong WeStreetAvenue 3 ,,
Jalan Rindu ,,
Hougang Avenue 8 ,,
"408, 411)",,
Jalan Membina ,,
